"序号","开局ID","开局名称","副标题","类型","剧情剧本","推荐难度","简介","起始时间","宗门或起点","初始境界","当前代码约束","剧情语义种族要求","必须人族","人形或可化形要求","种类输入必须留空","剧本强制种类","风险与管理建议","标签"
"11","story-wanderer-artifact-spirit","精血养灵 · 法宝初醒","长年温养，器中生我","特殊","否","小道悠游 / 寻常修行","你原是一位修仙者随身使用的法宝，在主人长年以精血祭炼温养后，终于于器身深处诞生了真正的智识。","7246-01-12 卯时","散修","炼气初期","须有灵根；种族：物化生灵；出生地须对种族开放（冥界仅冥族）","物化生灵","否","不限制化形开关","否","无","返回重选及预设读取时撤销失效选择","散修 / 物化生灵 / 法宝成灵"
"12","story-wanderer-wild-beast","灵山初醒 · 仙子诱宠","山野自在，忽闻灵食香","特殊","否","小道悠游 / 寻常修行","灵山中自在生活的妖兽因灵气充裕而开启智识；一位仙子循迹而来，放下灵食试图将你收作灵宠。","7246-04-23 辰时","散修","炼气初期","须有灵根；种族：妖族；出生地须对种族开放（冥界仅冥族）","妖族","否","不限制化形开关","否","无","返回重选及预设读取时撤销失效选择","散修 / 妖族 / 灵宠契约"
"13","story-wanderer-cave-relic","洞府遗珍 · 滴血认主","尘封千年，忽逢来客","特殊","否","寻常修行 / 砺心问道","失落大能洞府中的遗物在漫长岁月里生出智识；探索者发现你后，试图以滴血认主与你缔结契约。","7246-07-09 午时","散修","炼气初期","须有灵根；种族：物化生灵；出生地须对种族开放（冥界仅冥族）","物化生灵","否","不限制化形开关","否","无","返回重选及预设读取时撤销失效选择","散修 / 物化生灵 / 大能洞府"
"14","story-wanderer-auction","笼中奇货 · 神秘买家","落槌之后，命途易主","通用","否","砺心问道 / 逆天改命","你遭人捕获并被送上地下拍卖会，最终由一位身份不明的买家高价购得。","7246-10-03 戌时","随所选门派；未选为散修","炼气初期","须有灵根；出生地须对种族开放（冥界仅冥族）","不限主种族","否","不限制化形开关","否","无","正文适配所选界域、种族与形态；宗门沿用玩家选择；返回重选及预设读取时撤销失效选择","拍卖会 / 囚徒"
"15","story-wanderer-spirit-plant","日月凝灵 · 守兽相候","天地成灵，守兽相候","特殊","否","小道悠游 / 寻常修行","秘境中的自然灵物积蓄灵性、开启智识，醒来时发现一直守护自己的高阶妖兽正静候身旁。","7247-03-14 卯时","散修","炼气初期","须有灵根；种族：灵族；出生地须对种族开放（冥界仅冥族）","灵族","否","不限制化形开关","否","无","自然灵物成灵，支持水灵、木灵等本体；种类自由填写；返回重选及预设读取时撤销失效选择","散修 / 灵族 / 自然成灵 / 守护妖兽"
"16","story-bloodpool-demon-sword","血池魔剑 · 煞中初醒","祭仪已散，唯剑有灵","特殊","是","逆天改命","祭仪结束后的血池中，一把曾由祭品佩戴的灵剑吸收精血与煞气，机缘巧合诞生智识。","7247-07-15 子时","散修","炼气初期","须有灵根；种族：物化生灵；种类：留空（由剧本指定为「魔剑」）；出生地须对种族开放（冥界仅冥族）","物化生灵","否","不限制化形开关","是","魔剑","本体由剧本指定，输入须留空；可化形不等于登场时必须保持人形；返回重选及预设读取时撤销失效选择","特殊 / 物化生灵 / 魔剑 / 血池"
"17","story-hehuan-baiyan","百艳录 · 风流入宗","一夜欢场，醒入合欢","特殊","是","小道悠游 / 寻常修行","一位风流公子在青楼留宿后被合欢宗女修迷晕带回宗门，随身记事册也显露出记录双修对象、增益修行的宝物本相。","7248-02-18 巳时","合欢宗（新入门）","炼气初期","须有灵根；出生地：临渊水乡；性别：男；元阳/元阴：已损；种族：人族；形态：必须为人形；不可：无；门派：无 / 散修 / 合欢宗弟子；出生地须对种族开放（冥界仅冥族）","人族","是","天然人形或开启可化形","否","无","固定地点与已知宗门所在世界均校验；返回重选及预设读取时撤销失效选择","合欢宗 / 男性人族 / 非处男 / 百艳录"
"18","story-hehuan-healer","医心问诊 · 慕怜心","医病亦医欲，先闻心中隐秘","特殊","是","小道悠游 / 寻常修行","合欢宗医术弟子负责防治性病并疏导同门心理；慕怜心因只恋慕女性、无法适应常规双修而前来求助。","7248-05-06 申时","合欢宗（医堂弟子）","炼气初期","须有灵根；出生地：临渊水乡；形态：必须为人形；不可：无；门派：无 / 散修 / 合欢宗弟子；出生地须对种族开放（冥界仅冥族）","不限主种族","否","天然人形或开启可化形","否","无","固定地点与已知宗门所在世界均校验；返回重选及预设读取时撤销失效选择","合欢宗 / 医术 / 心理疏导 / 慕怜心"
"19","story-hehuan-double-dragon","双头龙 · 阴华生灵","双女同修，法器初醒","特殊","是","小道悠游 / 寻常修行","合欢宗主沈沐漪常用的双头龙法器，因长年承受双修阴气浇灌而诞生智识。","7248-08-22 亥时","合欢宗（宗主私藏法器）","炼气初期","须有灵根；出生地：临渊水乡；种族：物化生灵；种类：留空（由剧本指定为「双头龙法器」）；门派：无 / 散修 / 合欢宗弟子；出生地须对种族开放（冥界仅冥族）","物化生灵","否","不限制化形开关","是","双头龙法器","本体由剧本指定，输入须留空；可化形不等于登场时必须保持人形；固定地点与已知宗门所在世界均校验；返回重选及预设读取时撤销失效选择","合欢宗 / 物化生灵 / 双头龙 / 宗主法器"
"20","story-hehuan-ancient-plug","古府秘塞 · 众目成欢","大劫遗器，重见今人","特殊","是","小道悠游 / 逆天改命","合欢宗探索队在上古修士府邸中发现一件大劫前遗留的肛塞法器，而沉睡其中的主角也随之苏醒。","7249-01-09 午时","合欢宗（古府探索所得）","炼气初期","须有灵根；出生地：临渊水乡；种族：物化生灵；种类：留空（由剧本指定为「上古肛塞法器」）；门派：无 / 散修 / 合欢宗弟子；出生地须对种族开放（冥界仅冥族）","物化生灵","否","不限制化形开关","是","上古肛塞法器","本体由剧本指定，输入须留空；可化形不等于登场时必须保持人形；固定地点与已知宗门所在世界均校验；返回重选及预设读取时撤销失效选择","合欢宗 / 物化生灵 / 上古遗物 / 肛塞法器"
"21","story-fan-zhigen","续根机缘","未入修途，先逢转机","通用","否","寻常修行 / 砺心问道","你替一位落魄修士守了几日旧铺。临别时，他摆出一只银针匣，提出以接续灵根的机会偿还这份人情。","7268-10-07 亥时","随所选门派；未选为散修","凡人","形态：必须为人形；灵根含：无；出生地须对种族开放（冥界仅冥族）","不限主种族","否","天然人形或开启可化形","否","无","正文适配所选界域、种族与形态；宗门沿用玩家选择；无灵根凡人，秘法尚未施行；植根及修炼在后续剧情结算；返回重选及预设读取时撤销失效选择","凡人"
"22","story-fan-renjian","尘世一隅","从寻常生活开始","通用","否","砺心问道 / 逆天改命","你在街坊里替人记账跑腿。熟识的邻居忽然托来一只上锁木匣，却要求你避开常走的大路，赶在铺子打烊前送到。","7222-05-18 巳时","随所选门派；未选为散修","凡人","形态：必须为人形；出生地须对种族开放（冥界仅冥族）","不限主种族","否","天然人形或开启可化形","否","无","正文适配所选界域、种族与形态；宗门沿用玩家选择；凡人不等于人族、凡体或无灵根；不设小境界；返回重选及预设读取时撤销失效选择","凡人"
