名器,分类,特征（形态＞感官＞快感）
软玉,口,牙龈肥厚柔软近乎包住牙齿、无硬物感，无齿韧包、可大胆深冲
虎噬,口,两颗尖锐虎牙隐于唇下，用尖牙顶端在冠状沟系带走钢丝般轻刮，刺痛快感危险挑逗
空气阀,口,爆破吸吮，专制真空爆破、吐出瞬间响亮啵声，瞬间负压拔罐感、血液汇聚
千层,口,口腔两侧内壁布天生肉质褶皱如千层酥风琴，肉棱此起彼伏摩擦、藏精
金钱眼,后庭,括约肌完美圆形韧极强、常态闭合如未穿孔铜钱，入口金属环般硬极难突破、勒住根部
断龙石,后庭,带攻击性猛烈夹击如坠石，无法抗拒的咬合力、夹断感、肌肉暴动
羊肠径,后庭,狭窄弯曲崎岖，紧贴肉壁、内脏震颤
温香鼎,后庭,炉火般高温异香，冶炼感、异香扑鼻、干净得反常
盘丝洞,后庭,肠壁如吸盘吸附、拔出带长银丝，带阻力的粘腻如无数丝线缠龟头阻你离开
推磨鬼,后庭,肉壁绕阴茎慢速有力研磨旋转，磨盘碾碎圆周运动、不由自主节奏
千结索,后庭,肠壁生许多肉质突起肉瘤如绳结，凹凸不平、连环碰撞颗粒感
无忧乡,后庭,前列腺特攻敏感，敏感点主动迎合、极乐颤抖、前列腺肿胀销魂忘忧
饕餮口,后庭,外正常而内部延展性异常、只进不出，无底深渊贪婪吞吃容纳一切
琉璃脆,后庭,周围皮肤极白薄嫩、隐见青紫血管如易碎玻璃，苍白透明、痛并快乐
铁门栓,后庭,内约一指深横亘发达条状括约肌如门栓，死卡通道、突破后豁然开朗
金刚环,后庭,紧箍硬化，橡胶轮胎般硬度、勒得发痛、毫不退让紧致
叠峦峰,后庭,肠壁褶皱远超常人层层叠叠如压缩风琴，层层突破、褶皱边缘敏感波浪颤动
蛇盘道,后庭,静止时肉壁如蛇蜿蜒游走蠕动主动寻敏感点，被捕食感
蜜蜡封,后庭,蜡质分泌密封，浓稠蜜蜡质感、行动迟缓、密闭啵声
甘露井,后庭,异常出水，湿滑喷涌、噗嗤水声、违反常识的潮湿
鬼手藤,后庭,肠壁多组环肌分段独立收缩如无数小手，点状捏揉掐握精确打击敏感点
寒玉床,后庭,低温冰火，幽冷玉石凉意、极度温差、透心凉
品莲台,后庭,肛口软肉丰厚艳红，兴奋撑开时如花瓣层层外翻露鲜红粘膜，吞吐视觉美
颤心弦,后庭,极度敏感连锁，一碰就碎、剧烈弹跳过电、神经质痉挛
针毡丛,后庭,肠壁生细密稍硬绒毛状肉刺，磨砂微痛快感、毛绒内壁、逆向阻力
吞云袋,后庭,极致负压，强吸主动吞没、如被吸尘器罩住、灵魂被抽离
