大陆,凡国名称,疆域位置,都城或中心,庇护关系,已有人设角色,境界与权力边界,制度与生活摘要,来源蓝图
万兽大陆,潮生湾盟,潮生内海的浅湾聚落、部分深槽居地、岛镇与岸上港区，中心潮生港；群潮庭修行水域另列。,,庇护与供养：群潮庭承担高阶外敌、深水危险和虚海航路护持；湾盟提供船坞、仓场、海产与约定灵石，千翎崖按航务契约协作。,鳐汀兰（金丹后期）,最高金丹；高阶冲突依赖宗门庇护,### 潮生湾盟（内海与临虚港湾联盟） - 疆域与中心: 潮生内海的浅湾聚落、部分深槽居地、岛镇与岸上港区，中心潮生港；群潮庭修行水域另列。 - 居民与政体: 海族为主、海鸟和各族客商混居；浅湾、深水、岸港分别派代表，港务执政最高金丹。 - 组织与军事: 内海港署、临虚港署、潮务署、商事厅、巡湾队；低阶人员维护设施与治安，高阶护航由宗门负责。 - 庇护与供养: 群潮庭承担高阶外敌、深水危险和虚海航路护持；湾盟提供船坞、仓场、海产与约定灵石，千翎崖按航务契约协作。 - 边界与制衡: 宗门不能把居民维生设备充公作材料；深槽划道须有居民参与，岸港与内海收益按公开比例分配。 - 经济与信仰: 内海渔产、珠贝、装备装配、跨大陆转运；各族敬归航者与旧引路人。 - 节庆与禁忌: 落潮市、归航宴、长歌会；不得伪造遇险信号，将旅客冒登记为货物。 - 对外: 与镜汀协调河口水量，与绮罗交易织物，通过飞舟和传送联络其他大陆。 - 组织: - 潮生湾盟港务执政，驻潮生港。: 金丹后期 鳐汀兰(御姐)（种族=妖族（鹰鳐）） 外貌与着装: 已化形，蓝灰短发、眼尾浅斑、动作舒展；原身胸鳍宽大，活动于内海。,世界书/灵界/万兽大陆/万兽大陆蓝图.md
沧溟大陆,明珠城邦盟,明珠珊庭多座鱼人及海族城邦结盟，含浅海居住台地与明确登记的港井，不因上层投影占有幽灯盆地。,珠阙城为轮值议事中心；各城保留地方议会，盟议席由城邦推举，重大采光与航道事项须受影响街区听证。,庇护交换：澄珠宫主护。盟国提供阵基用地、药圃份额及公示维护费，弟子招募须自愿且不按血统强征。高阶兽害、元婴及以上侵袭和超出世俗能力的护城事故由宗门介入。,贝明议（金丹中期）,最高金丹；高阶冲突依赖宗门庇护,明珠珊庭多座鱼人及海族城邦结盟，含浅海居住台地与明确登记的港井，不因上层投影占有幽灯盆地。,世界书/灵界/沧溟大陆/沧溟大陆蓝图.md
沧溟大陆,青绡海国,覆盖西部主要耕养海域，由根庭村落与绡根城共同组成；海草牧场、迁徙通道和藻冠使用权分别登记。,绡根城为都城，议选海主主持行政，根庭代表保留年度问责与更换程序，不以高修为争王位。,庇护交换：青绡苑主护，海国提供试圃、普通粮材与服务费；宗门承担超出地方能力的生态灾害、高阶侵袭与重大护田阵损坏，必要时按跨宗盟约请求大型宗门协援。,绡予禾（金丹初期）,最高金丹；高阶冲突依赖宗门庇护,覆盖西部主要耕养海域，由根庭村落与绡根城共同组成；海草牧场、迁徙通道和藻冠使用权分别登记。,世界书/灵界/沧溟大陆/沧溟大陆蓝图.md
沧溟大陆,环廊商盟,中央锚城、固定驿站与服务水道组成的世俗联盟，商运重要但并非船行私产；迁游居民有合法代表渠道。,环枢城议事，居民、驿站与船行分席，涉及通息通道的决议需实际使用社群参与。,庇护交换：回流天院主护，盟国提供观流锚地、维修物资和分项费用；高阶劫掠、重大航路崩坏与超出低阶队伍能力的救援由宗门承担。,章语衡（金丹后期）,最高金丹；高阶冲突依赖宗门庇护,中央锚城、固定驿站与服务水道组成的世俗联盟，商运重要但并非船行私产；迁游居民有合法代表渠道。,世界书/灵界/沧溟大陆/沧溟大陆蓝图.md
沧溟大陆,寒镜海国,北部暖谷、永久岩城和登记冰下季市组成，迁徙社群拥有受保护的季节通行与休息权。,暖镜城为都城；海君由世俗继承制度产生，但暖谷议会对税赋、通息井与储粮有否决和审议权。,庇护交换：寒灯台主护，国供灯站、耐寒物资及维护粮费；宗门处理高阶威胁、异常冰灾与重大井群事故，并与回流天院维持援助契约。,暖镜棠（金丹后期）,最高金丹；高阶冲突依赖宗门庇护,北部暖谷、永久岩城和登记冰下季市组成，迁徙社群拥有受保护的季节通行与休息权。,世界书/灵界/沧溟大陆/沧溟大陆蓝图.md
沧溟大陆,赤脊诸埠,西南稳定工埠、登记矿区、迁建锚场及少量露水作业岛结盟，新生海床不自动归最近工埠所有。,赤炉埠为共同议事中心，各埠自治；工匠、居住庭与矿业行会分席，重大迁城不得仅由矿主决定。,庇护交换：赤炉山主护，诸埠供合法矿额、试炉地和工役合同；宗门介入高阶威胁、严重火山事故及重大隔水设施失效。,蟹执钧（金丹后期）,最高金丹；高阶冲突依赖宗门庇护,西南稳定工埠、登记矿区、迁建锚场及少量露水作业岛结盟，新生海床不自动归最近工埠所有。,世界书/灵界/沧溟大陆/沧溟大陆蓝图.md
沧溟大陆,温苗海国,初生海床的宜居缓坡及生海北缘栖泉集属地；不将核心泉群划为私有国土，不覆盖全部保护地研究权限。,温苗城为中心，村庭推举代表组成海议，任期行政官执行；栖泉有地方议事席，不能因依赖补给失去发言权。,庇护交换：育海谷主护全国产居区域；听泉院协护栖泉及泉庭外围观测通道。国家提供苗圃协作、补给仓与费用；高阶侵袭、超出民间能力的生态危险及泉庭外围事故分别由对应宗门先行介入，再协调援助。,苗共汐（金丹中期） / 栖澜书（金丹初期）,最高金丹；高阶冲突依赖宗门庇护,初生海床的宜居缓坡及生海北缘栖泉集属地；不将核心泉群划为私有国土，不覆盖全部保护地研究权限。,世界书/灵界/沧溟大陆/沧溟大陆蓝图.md
沧溟大陆,幽灯渊国,东部深水盆地及约定的沿坡港段，与上方明珠城邦盟分别拥有明确的深度范围和设施权。,幽灯城为都城，世俗渊君与灯庭议会分权；档案馆只提供证据，不因保管史料而取得世袭裁决权。,庇护交换：照渊书宫主护，国供档案协作、练法水域与维护费；高阶侵袭、严重护压事故及涉及高阶力量的档案威胁由宗门处理。,灯议宁（金丹后期）,最高金丹；高阶冲突依赖宗门庇护,东部深水盆地及约定的沿坡港段，与上方明珠城邦盟分别拥有明确的深度范围和设施权。,世界书/灵界/沧溟大陆/沧溟大陆蓝图.md
沧溟大陆,海门港盟,双阙港、外缘作业岛、空港岩台与内侧港湾组成；不把外部虚海划为可征税领海，也不独占全大陆外缘泄水口。,双阙港议事，水港、空港、居民与工坊分席，本地海族主导；人类修士是外来使用者而非默认港口主人。,庇护交换：垂天阁主护港区，回流天院协护内侧大航道与大型救援。港盟供阵台用地、工坊合同和维修费；高阶侵袭、重大接驳事故及跨界航险依责任范围介入。,潮契衡（金丹中期）,最高金丹；高阶冲突依赖宗门庇护,双阙港、外缘作业岛、空港岩台与内侧港湾组成；不把外部虚海划为可征税领海，也不独占全大陆外缘泄水口。,世界书/灵界/沧溟大陆/沧溟大陆蓝图.md
太初大陆,承川古国,承川盆地主体及北缘农耕丘陵；不统治赤屏全境，也不把长苇泄洪地视作随时可征用的属地。,承都。,主要庇护：观岳道院。古国提供稳定粮布、公共观察站土地、劳务与自愿入门人才；道院应对元婴及以上敌对威胁、重大地脉风险和需高阶阵法的护境任务。,姚令禾（金丹中期） / 陶素渠（筑基后期）,最高金丹；高阶冲突依赖宗门庇护,围绕盆地水利、粮仓与地方城邑形成的古国，王朝合法性主要来自保田、通渠与赈灾的持续履职。,世界书/灵界/太初大陆/太初大陆蓝图.md
太初大陆,白汀诸城盟,白汀内海沿岸各城、岛屿与约定盐场；湖上公共航道不归单城私有。,,主要庇护：听澜宗。城盟提供船坞、物资、盐运供养和灯站人员；宗门承担元婴及以上外敌、水域高阶妖兽威胁及超出城盟能力的水下工程。,盐青蘅（金丹后期） / 许平潮（筑基中期）,最高金丹；高阶冲突依赖宗门庇护,内海港市与岛城共同组成的联盟，依盐运、粮食输入与航道安全维系。,世界书/灵界/太初大陆/太初大陆蓝图.md
太初大陆,长苇泽国,长苇泽原的聚落、水道、轮用浅滩与南泄口；疆界描述允许季节用途变化，不等于土地无主。,,主要庇护：濡生谷；观岳道院为防汛协作宗门。泽国供药田、舟舍、药材与巡诊后勤，濡生谷承担高阶威胁防护、严重灵性疫病处置和高阶医修支援；道院按联合约定处理大型堤阵及地脉风险。,苇清晏（金丹中期） / 叶纫秋（筑基中期）,最高金丹；高阶冲突依赖宗门庇护,由高台城镇、堤村与舟社逐渐联合的世俗国家，以共渡汛期和保障四季生产为主要职责。,世界书/灵界/太初大陆/太初大陆蓝图.md
太初大陆,大风部盟,大风原主要牧地、泉井和商路聚落；北部山口与赤屏崖寨有互保协议，不直接吞并其自治权。,,主要庇护：负岳庭；万程院协助商路保护。部盟提供牧场使用、驮兽、粮乳、护具材料与驿站补给；负岳庭应对元婴以上敌对威胁与重大边地救援，万程院负责远行路线、护送与跨地联络。,乌兰笙（金丹后期） / 俞铃纱（筑基后期）,最高金丹；高阶冲突依赖宗门庇护,迁徙牧部、绿洲居民和固定驿城共同缔结的盟国，水源与通路权比单一血统更能维持团结。,世界书/灵界/太初大陆/太初大陆蓝图.md
