域,宗门名称,规模,位置,主要人物,已有人设角色,简介,理念,是否有主线剧情,主线剧情简介
星坠大陆,青岚回春谷,中宗,灵界-星坠大陆-青岚山域,容春岫（女·合体初期·谷主） / 青瓷（女·化神中期·育药、采药使） / 白芷湄（女·返虚中期·医堂首座） / 桑柔（女·化神后期·育灵堂掌事） / 程苦参（男·化神中期·巡山使统领）,容春岫 / 青瓷 / 白芷湄 / 桑柔 / 程苦参,隐于青岚山域的医修宗门，以灵药培育、经脉治疗与神魂调养见长。,顺时养生，济人亦济己。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
星坠大陆,镜心乐府,中宗,灵界-星坠大陆-烟水云泽-镜花城,姬流月（女·返虚后期·府主） / 柳弄晴（女·化神初期·幻戏演员） / 商清商（女·返虚初期·十二艺监之首） / 薄绯（女·化神后期·舞监） / 顾弦歌（女·化神中期·乐器师）,姬流月 / 商清商 / 薄绯 / 顾弦歌 / 柳弄晴,以丝竹、舞蹈、绘画和幻术修行见长的宗门，将神识幻境用于艺术、疗愈与记录，而非单纯惑敌。,照心成境，以情入道。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
星坠大陆,观潮舟宗,中宗,灵界-星坠大陆-南溟海门-天槎港,闻潮生（男·合体初期·宗主） / 祝归帆（女·返虚中期·搜救堂主） / 鱼晚晴（女·化神后期·航图院首席） / 罗定波（男·化神中期·船坞院首座）,闻潮生 / 祝归帆 / 鱼晚晴 / 罗定波,驻守南溟海门的航海宗门，培养飞舟驾驭者、虚海向导与远航护卫。,识潮定向，渡人渡己。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
圣银大陆,十二柱神庭,大宗,灵界-圣银大陆-天冠圣山-十二柱祖庭。,曜衡昭华（女·大乘初期·十二柱神庭大祭正、曜衡氏当代主祭、银誓同盟柱议院首席召集者。） / 暮碑玄祷（女·返虚后期·十二柱神庭誓典院首座、暮碑氏灾难名录守护者。） / 丰穗弥音（女·化神初期·十二柱神庭祖谱院校勘使、丰穗氏旁系出身。） / 月狩霁弓（女·化神中期·十二柱神庭外契使、月狩氏与妖族猎团联络者。） / 墨刻十二（女·返虚初期·十二柱祖庭古契碑灵、神庭与明辩学宫共同档案顾问。）,曜衡昭华 / 丰穗弥音 / 暮碑玄祷 / 月狩霁弓 / 墨刻十二,由十二个古老柱氏族共同维持的神族传承宗门，保存祖谱、神纹、盟约原本和高阶神识秘法，也是天冠圣山最重要的护持力量。,承神性而守众誓，知血脉亦知责任。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
圣银大陆,明辩学宫,大宗,灵界-圣银大陆-白垣台原-柱环城。,沈清辩（女·大乘初期·明辩学宫山长、银誓同盟护约席资深见证者。） / 唐问璧（女·返虚中期·明辩学宫法理院首座。） / 澄墨（女·化神后期·一池古墨化形者、明辩学宫历史院记录师。） / 陆砚白（男·筑基后期·明辩学宫外院讲师、公共法律援助书记。）,沈清辩 / 陆砚白 / 唐问璧 / 澄墨,面向各族开放的综合学宫，以法理、历史、阵法、医术、外交和公共辩论见长，负责培养城邦官吏、书记、阵师与调停者。,言可辩，事须证，法为众人之约。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
圣银大陆,银盾战庭,大宗,主庭位于白垣台原东部，在苍角牧原和琴浪内海设巡界与海盾分庭。,守垣铁心（女·合体后期·银盾战庭庭主、守垣氏守境者。） / 沧帆澜珀（女·合体初期·银盾战庭海盾司统领、沧帆氏远航守誓者。） / 秦列霜（女·返虚后期·银盾战庭阵列院首座。） / 苍鸢（女·化神中期·银盾战庭救灾使、空中搜救队领队。）,守垣铁心 / 沧帆澜珀 / 秦列霜 / 苍鸢,以护体、枪盾合击、大型防御阵和灾害救援著称的守护宗门，负责大陆主干道、断柱海门及跨邦高阶安全。,盾立众人之前，荣誉来自守护而非征服。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
圣银大陆,月桂医谕院,中宗,灵界-圣银大陆-月桂谕谷-月桂城。,清泉知微（女·合体初期·月桂医谕院院主、清泉氏谕象学代表。） / 叶听露（女·化神初期·月桂医谕院静梦医师、神识创伤治疗者。） / 泉生白芷（女·化神后期·月桂医谕院百草院育药使。） / 姜梦禾（女·元婴后期·月桂医谕院外诊医师、公共浴场巡诊负责人。） / 乌沉（男·化神中期·月桂医谕院长期病案保管人、灾难死者名录校勘者。）,清泉知微 / 叶听露 / 乌沉 / 泉生白芷 / 姜梦禾,扎根月桂谕谷的医修宗门，将泉水异象、梦境观察和灵植药理用于诊断与疗愈，同时训练能够公开说明不确定性的谕师。,见可能而不妄断，疗其身亦护其心。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
圣银大陆,赤陶百工宗,中宗,灵界-圣银大陆-赤陶火岭-赤陶城。,赫炉丹弦（女·合体中期·赤陶百工宗宗主、赫炉氏工艺传承者。） / 公输赤霞（女·返虚中期·赤陶百工宗营造院首座。） / 尺陶（女·化神中期·测量陶尺器灵、赤陶百工宗器灵仲裁。） / 红釉（女·返虚初期·千窑坡古窑器灵、赤陶百工宗地火沟通者。）,赫炉丹弦 / 红釉 / 公输赤霞 / 尺陶,以陶器、铸像、玻璃、赤铜器、公共阵基和日用法器闻名的生产宗门，强调作品署名、使用安全和器灵自主。,手作留名，器成有责，有灵则当相约。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
圣银大陆,九艺诗院,中宗,主院位于白垣台原百阶剧场，在琴浪群岛和苍角牧原设巡演分院。,姬回雪（女·返虚后期·九艺诗院院主、九弦氏旁系出身。） / 钟新月（女·元婴后期·九艺诗院剧艺监、百阶剧场常驻导演。） / 狐遥歌（女·化神初期·九艺诗院巡演团首席说唱诗人、异族口述史收集者。）,姬回雪 / 钟新月 / 狐遥歌,以诗歌、戏剧、音乐、舞蹈、雕刻、绘画和公共幻术修行的艺术宗门，通过演出保存历史、讨论制度并治疗群体创伤。,以艺记事，以戏照心，荣誉不应只属于胜者。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
灵境大陆,百卉仙宫,大宗,灵界-灵境大陆-百花深林，沿千种圃与数处独立山谷分布，不以单一巨树支撑全大陆。,花照年（女·大乘前期·百卉仙宫宫主，常驻百花深林。） / 阮青畦（女·返虚中期·百卉仙宫传种堂掌事，往来芳洲与千种圃。） / 叶绡（女·化神中期·千种圃候园司记录员。）,花照年 / 阮青畦 / 叶绡,保存草木灵古老道统，主张“因其性而养，循其时而成”。宫中既有守旧古园，也有试种新圃。,保存草木灵古老道统，主张“因其性而养，循其时而成”。宫中既有守旧古园，也有试种新圃。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
灵境大陆,衡岳石庭,大宗,灵界-灵境大陆-白璧山原-璧泉城外的稳固岩台与地下石庭。,石含璋（女·大乘前期·衡岳石庭庭主。） / 纪砚微（女·返虚前期·衡岳石庭石契院校勘师。） / 裴岩生（男·化神后期·衡岳石庭勘脉院实地勘测师。）,石含璋 / 纪砚微 / 裴岩生,由金石灵道统与历代勘脉师共同发展，主张“识其根，承其重”。,由金石灵道统与历代勘脉师共同发展，主张“识其根，承其重”。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
灵境大陆,四时观,大宗,灵界-灵境大陆-叠翠千山-分泉岭，山下至芳洲设观察站。,谢晴岚（女·合体后期·四时观观主。） / 温霁（女·返虚中期·四时观地水司主事。） / 许知禾（女·化神前期·四时观问农馆巡候弟子。）,谢晴岚 / 温霁 / 许知禾,多族共同研究自然物候与局部调候，主张“知其变，量其宜”。,多族共同研究自然物候与局部调候，主张“知其变，量其宜”。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
灵境大陆,素问山,中宗,灵界-灵境大陆-叠翠千山，分诊处设于芳津、霞陶与晴酿。,白蘅君（女·合体中期·素问山山主。） / 丹初素（女·返虚前期·素问山丹灵温养房主事。） / 江停药（男·化神中期·素问山行医队领队。）,白蘅君 / 丹初素 / 江停药,治疗血肉伤病、灵族本源损伤及物化生灵失养，主张“先识其身，再论其病”。,治疗血肉伤病、灵族本源损伤及物化生灵失养，主张“先识其身，再论其病”。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
灵境大陆,绛霞窑宗,中宗,灵界-灵境大陆-栖霞丹壑-霞陶城外围安全地火区。,陶绛雪（女·合体中期·绛霞窑宗宗主。） / 炉心红（女·返虚后期·绛霞窑宗养炉堂首席。） / 青榫（女·化神前期·绛霞窑宗修器堂弟子。）,陶绛雪 / 炉心红 / 青榫,窑火传承、炼器与器灵修补并行，主张“成器有法，养器有情”。,窑火传承、炼器与器灵修补并行，主张“成器有法，养器有情”。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
灵境大陆,听潮水府,中宗,总府在灵界-灵境大陆-镜泊烟汀-照汀城外，听潮海阶设驻港堂。,沈听澜（女·合体中期·听潮水府府主。） / 陆归舷（男·返虚中期·听潮水府搜救堂主、驻港轮值负责人。） / 定星罗（女·化神后期·听潮水府测航堂领航师。）,沈听澜 / 陆归舷 / 定星罗,从湖泊治水发展为兼顾河运、港口和虚海护航的宗门，主张“识水势，守归程”。,从湖泊治水发展为兼顾河运、港口和虚海护航的宗门，主张“识水势，守归程”。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
灵境大陆,养真院,公共修行机构,灵界-灵境大陆-芳洲沃野-芳津城郊，设普通教室、日照庭、浅水院和器身安置室。,闻书蘅（女·返虚前期·养真院院正，常驻芳津城郊。）,闻书蘅,帮助初生灵族、新近觉醒的物化生灵理解语言、日常交往、灵石、契约与基础修行；也接待需要适应本地生活的外来生灵。,帮助初生灵族、新近觉醒的物化生灵理解语言、日常交往、灵石、契约与基础修行；也接待需要适应本地生活的外来生灵。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
万兽大陆,镇岳山盟,大宗,主议山院设于百川沃野北缘镇岳岭，北山院位于霜牙高原，西南有护路驻所。,岳沉岚（女·合体后期·轮值山主，驻百川沃野镇岳岭。） / 熊绥冬（女·返虚后期·北山院主，驻霜牙高原。） / 狼砚行（男·化神后期·护路院巡行师，往来赤砾与镇岳岭。） / 岳眠山（女·大乘初期·镇岳山盟前代守山长老，长居霜牙高原僻谷，无凡国职位。）,岳沉岚 / 熊绥冬 / 狼砚行 / 岳眠山,虎、豹、熊、狼等山居妖族联合，兼收适合山地修行的其他弟子，各支祖地独立。,守山各有界，逢难共担山。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
万兽大陆,千翎崖,大宗,丹霞千窟高崖，紧邻丹翎城上层风道。,隼凌秋（女·合体中期·崖主，驻丹霞千窟千翎崖。） / 鸮听更（女·返虚中期·夜巡院首座，驻丹翎城上层。） / 鸦拾音（男·化神中期·风候院记事师，驻赤壁画廊附近。）,隼凌秋 / 鸮听更 / 鸦拾音,鹰隼、鸮鸦、鹤雁等羽族各有传承，另接纳能参与航图、阵法和地面协作的无翼弟子。,各循其翼，共守归途。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
万兽大陆,九曲丘,中宗,青萝叠嶂九曲丘，祖地与萝阴城的世俗官署分离。,涂山绾（女·合体初期·丘主，驻青萝叠嶂九曲丘。） / 貂素问（女·返虚初期·访谱堂主持，驻九曲丘。） / 狐南枝（女·化神初期·客院接引弟子，驻问归桥。）,涂山绾 / 貂素问 / 狐南枝,多支狐族构成修行主体，貂、兔、獾及其他山居妖修可受邀拜师；不自称天下狐族唯一祖庭。,知来处，择归处。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
万兽大陆,回芳谷,中宗,青萝叠嶂温湿药谷，下设山城诊所和各地游医驻点。,鹿蘅芜（女·合体初期·谷主，驻青萝叠嶂回芳谷。） / 蛇青缬（女·返虚中期·经脉比较院主事，驻温脉泉。） / 猿抱朴（男·化神后期·培育堂药圃师，驻分药圃。）,鹿蘅芜 / 蛇青缬 / 猿抱朴,鹿、猿、蛇、蟾及其他熟悉药材与不同生理的妖修共同形成；族群只是经验来源，不垄断某种医疗知识。,先辨其身，再论其药。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
万兽大陆,经纬宫,中宗,绮罗烟谷、绮罗城上游丝楼群。,桑缃衣（女·合体初期·宫主，驻绮罗烟谷经纬宫。） / 蛛络雪（女·返虚后期·织阵院首座，驻千梭楼。） / 蛾烟迟（女·化神初期·染衣院弟子，驻绮罗城雨廊。）,桑缃衣 / 蛛络雪 / 蛾烟迟,蚕族的育丝与蛛族的张网传承结合，兼有蛾、蝶等弟子；以工艺师承联结不同家族。,一丝有来处，千缕各成章。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
万兽大陆,百工巢,中宗,主巢在绮罗烟谷西北丘地，通壤城设地脉工院；二者经地面货路连接，非一条贯穿全大陆的空洞。,蜂采微（女·合体初期·轮值巢主，驻绮罗烟谷百工巢。） / 蚁工衡（男·返虚中期·地脉工院首座，驻通壤城。） / 甲映铜（女·化神中期·营造院器具师，驻主巢。）,蜂采微 / 蚁工衡 / 甲映铜,蜂、蚁及部分甲虫妖修创建，接纳鼠、獾、穿山甲等地穴工匠；群居组织与个人师承并存。,各尽其巧，共有栖身。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
万兽大陆,伏蜇洞,中宗,赤砾长原地下温湿洞带，外务药市设在盐泉城边缘。,蝎照砂（女·合体中期·洞主，驻赤砾长原伏蜇洞。） / 蜈绛缕（女·返虚初期·洞候院主持，驻温湿洞带。） / 蛇既白（男·化神中期·护商毒伤队医修，驻冷灯药市。）,蝎照砂 / 蜈绛缕 / 蛇既白,多种毒性生物来源的妖修组成，洞内按温湿、药性分区；不要求所有成员具备同一种毒性。,识毒方能用毒，知身方能养身。,FALSE,尚未制作独立主线事件；蓝图中的冲突与人物故事仅作创作参考。
