分类,名称,五行,品阶,悟性,根骨,气感,效果
战斗,天雷殛体,火,道体,22,26,27,[雷殛:战斗中，使用雷属性功法时，攻击力视为+20%][淬雷:战斗中，受到雷属性攻击时，减免视为+20%]
战斗,不灭金身,金,道体,22,33,20,[金身:战斗中，受到近身攻击时，减免视为+20%][辟邪:战斗中，遭受同境及以下邪祟施加的恐惧或侵蚀时，免疫恐惧与侵蚀效果]
战斗,玄武不动体,水,道体,22,30,23,[不动:战斗中，受到远程攻击或咒法攻击时，减免视为+20%][镇厄:战斗中，每场战斗首次遭受同境及以下敌人施加的封禁或诅咒时，免疫该次封禁或诅咒效果]
战斗,庚金战体,金,道体,21,31,23,[庚锋:战斗中，使用金属性功法或金属兵器时，攻击力视为+20%][破甲:战斗中，进行近身攻击时，穿透视为+20%]
战斗,瀚海归墟体,水,道体,26,22,27,[归墟:战斗中，使用水属性功法时，攻击力视为+20%][纳海:战斗中，使用水属性功法时，灵气消耗视为-15%]
战斗,焚天炎神体,火,道体,24,28,23,[焚天:战斗中，使用火属性功法时，攻击力视为+20%][炎神:免疫不高于自身境界的严寒环境影响][炎血:战斗中，遭受同境及以下来源施加的冻伤时，免疫该次冻伤效果]
战斗,厚土镇岳体,土,道体,20,34,21,[镇岳:战斗中，受到近身攻击时，减免视为+20%][不移:战斗中，双足着地时，命中视为+1]
战斗,昊阳明净体,阳,道体,26,25,24,[昊阳:战斗中，使用阳属性功法时，攻击力视为+20%][明净:战斗中，每场战斗首次遭受同境及以下敌人施加的魅惑、恐惧或侵蚀时，免疫该次魅惑、恐惧或侵蚀效果]
战斗,两仪道胎,混沌,道体,29,22,24,[两仪轮转:战斗中，前后相邻两次所用功法分别为阴与阳时，第二次功法的攻击力视为+20%][阴阳互济:战斗中，使用阴或阳属性功法时，灵气消耗视为-10%]
战斗,北冥寒髓体,水,道体,25,27,23,[北冥寒息:战斗中，使用水或冰属性功法时，攻击力视为+20%][寒髓:战斗中，受到火属性攻击时，减免视为-10%]
战斗,无垢道体,阳,道体,29,23,23,[无垢:战斗中，每场战斗首次遭受同境及以下敌人施加的毒素或诅咒时，免疫该次毒素或诅咒效果][清净:战斗中，使用丹药恢复气血时，气血恢复量视为+15%]
战斗,幽梦道体,阴,道体,30,19,26,[幽梦:战斗中，进行幻术意图对抗时，幻术视为+20%][梦醒:战斗中，每场战斗首次遭受同境及以下敌人施加的魅惑时，免疫该次魅惑效果]
战斗,星辰道体,混沌,道体,28,24,23,[星识:战斗中，进行神识意图对抗时，神识视为+18%][列宿成阵:战斗中，自身参与结成的阵法灵气容量视为+18%]
战斗,万象灵胎,混沌,道体,27,23,25,[万象:战斗中，使用与上一轮不同五行的攻击功法时，攻击力视为+15%][化气:战斗中，使用非心法类功法时，灵气消耗视为-10%]
战斗,修罗战体,阴,道体,20,35,20,[修罗战意:战斗中，每击败一名敌人，攻击力视为+5%，最多视为+20%，战斗结束后清除][血斗:战斗中，气血低于50%且受到近身攻击时，减免视为+15%]
战斗,太初真魔体,阴,仙体,30,38,32,[魔躯:战斗中，使用阴或火属性功法时，攻击力视为+25%][万邪不侵:战斗中，遭受同境及以下敌人施加的魅惑、恐惧或侵蚀时，免疫魅惑、恐惧与侵蚀效果]
战斗,虚空幻灭体,混沌,仙体,38,28,34,[虚相:战斗中，每场战斗首次成为攻击目标时，闪避视为+3][幻灭:战斗中，进行神识或幻术意图对抗时，对应技艺视为+25%]
战斗,混沌道体,混沌,仙体,34,33,33,[混沌衍法:战斗中，使用金、木、水、火或土属性功法时，攻击力视为+25%][归一:战斗中，使用功法时，灵气消耗视为-20%]
战斗,万古青莲体,木,仙体,36,32,32,[青莲生机:战斗中，气血恢复量视为+30%][莲心不染:战斗中，遭受同境及以下敌人施加的毒素、魅惑或侵蚀时，免疫毒素、魅惑与侵蚀效果]
战斗,先天圣灵体,阳,仙体,35,34,31,[圣灵之光:战斗中，使用阳属性功法时，攻击力视为+25%][诸邪退散:战斗中，战斗开始时，解除一个由同境及以下敌人施加的负面状态效果]
战斗,九幽冥王体,阴,仙体,33,37,30,[冥王敕令:战斗中，使用阴属性功法时，攻击力视为+30%][九幽威仪:战斗中，免疫同境及以下敌人施加的恐惧、魅惑与侵蚀效果]
战斗,元磁神体,金,仙体,32,36,32,[元磁御器:战斗中，使用金属法宝攻击时，攻击力视为+30%][磁极回环:战斗中，使用御物功法或法宝攻击时，灵气消耗视为-20%]
战斗,太虚鲲鹏体,水,仙体,34,34,32,[鲲鹏极速:战斗中，使用身法时，遁速视为+30%][太虚挪移:战斗中，每场战斗首次成为攻击目标时，闪避视为+3]
战斗,涅槃凤凰体,火,仙体,34,38,28,[凤凰真火:战斗中，使用火属性功法时，攻击力视为+25%][涅槃:战斗中，每场战斗首次气血低于25%时，于本轮结束时气血恢复量视为气血上限的30%]
战斗,万岳祖龙体,土,仙体,29,43,28,[祖龙之力:战斗中，使用徒手或近身攻击时，攻击力视为+30%][万岳龙鳞:战斗中，受到近身攻击时，减免视为+25%][镇兽:战斗中，面对同境及以下敌方灵兽时，敌方灵兽第一轮的命中视为-3]
生产,木灵青躯,木,灵体,14,18,18,[青木亲和:进行培育或医术判定时，对应技艺+10%][回春:战斗外获得的气血恢复量+15%]
生产,离火炉心,火,灵体,18,17,15,[炉心:进行炼丹或炼器判定时，火焰加值+10%][火候:首次生产火属性配方成功时，技艺获得值+10%]
生产,丹霞药胎,火,灵体,18,15,17,[丹霞炉心:进行炼丹生产时，炼丹技艺+10%][胎火:进行炼丹生产时，火焰加值+10%]
生产,百工巧体,金,灵体,20,14,16,[巧手:进行炼器或制符生产时，对应技艺+10%][精工:首次成功生产炼器或制符配方时，对应技艺获得值+10%]
生产,青帝长生体,木,道体,27,25,23,[青帝生机:战斗外获得的气血恢复量+20%][草木宗师:进行培育或医术判定时，对应技艺+20%]
生产,大地母胎,土,道体,24,29,22,[地母生息:战斗外获得的气血恢复量+20%][厚植:进行培育判定时，培育技艺+20%]
生产,符骨道体,木,道体,28,21,26,[符骨:进行制符生产时，制符技艺+20%][衍符:制符成功时，符箓单份产出+1]
生产,天工炉鼎体,土,道体,24,30,21,[器胎:进行炼器或制傀生产时，炼器技艺+20%][内炉:进行炼器或制傀生产时，火焰加值+20%]
生产,造化万工体,阳,仙体,38,30,32,[万工:进行生产时，生产规则采用的对应技艺+30%][造化:首次成功生产任意配方时，对应技艺获得值+50%]
修炼,百炼筋骨,金,灵体,14,24,12,[百炼:修炼时，丹毒排除速度视为+10%][强筋:进行负重或角力判定时，根骨视为+2]
修炼,夜照灵体,阴,灵体,19,13,18,[夜照:夜间神识探查范围+15%][吸月:月夜修炼时，修为+10%]
修炼,聚灵脉体,水,灵体,17,15,18,[聚灵周天:修炼时，修为+10%]
修炼,药髓化真体,木,灵体,18,17,15,[药髓化真:通过服丹获取修为时，修为+10%][净药:服丹时，丹毒增量-10%]
修炼,合欢灵蕴体,阴,道体,27,21,27,[合和:通过双修获取修为时，修为+20%][灵蕴:失去元阴/元阳时，自身灵蕴+4]
修炼,归元无漏体,土,道体,25,27,23,[归元:修炼时，修为+15%][无漏:修炼时，丹毒排除速度+20%]
修炼,吞灵化道体,混沌,仙体,34,34,32,[噬源:通过夺灵获取修为时，修为+25%]
突破,灵关通窍体,阳,灵体,19,14,17,[通关:突破成功率+10%]
突破,万法归神体,混沌,仙体,36,30,34,[归神:突破成功率+30%]
领悟,通透玲珑心,水,灵体,22,14,14,[玲珑心窍:进行领悟判定时，悟性+15%]
领悟,先天剑体,金,灵体,17,16,17,[剑心:领悟剑类功法时，悟性+15%][剑鸣:战斗中，装备剑类法宝进行攻击检定时，命中视为+1]
领悟,大罗玲珑体,混沌,道体,28,22,25,[触类旁通:进行领悟判定时，悟性+20%][融会贯通:领悟成功时，阶段收获与终末精进的技艺数值+20%]
领悟,七窍闻道体,木,道体,31,19,25,[闻道:进行领悟判定时，悟性+20%][闻一知十:领悟成功时，阶段收获的技艺数值+25%][七窍:神识探查范围+15%]
领悟,万劫兵胎,金,道体,23,30,22,[兵主:战斗中，装备法宝进行攻击时，攻击力视为+18%][百兵通明:领悟兵器类功法时，悟性+20%][兵法归一:领悟兵器类功法大成时，终末精进的技艺数值+25%]
领悟,天心通明体,阳,道体,32,19,24,[天心:神识探查范围+20%][通明:领悟神识或阵法功法时，悟性+20%][通神:领悟神识或阵法功法大成时，终末精进的技艺数值+25%]
领悟,鸿蒙开天体,混沌,仙体,40,30,30,[万法初源:修炼金、木、水、火或土属性心法时，修为+25%][开天悟道:进行领悟判定时，悟性+25%][道果:领悟成功时，阶段收获与终末精进的技艺数值+25%]
综合,沧浪灵体,水,灵体,16,16,18,[纳流:战斗中，使用水属性功法时，攻击力视为+12%][润脉:战斗外获得的气血恢复量+10%]
综合,星砂灵体,混沌,灵体,17,15,18,[星引:进行非战斗御物判定时，御物+10%][星御:战斗中，进行远程攻击伤害计算时，御物视为+10%][省识:战斗中，使用御物功法时，灵气消耗视为-10%]
综合,药灵之体,木,灵体,18,16,16,[识药:进行炼丹或医术判定时，对应技艺+10%][受药:战斗中，使用丹药恢复气血时，气血恢复量视为+10%]
综合,金磁灵躯,金,灵体,15,18,17,[磁御:进行非战斗御物判定时，御物+10%][磁战:战斗中，进行远程攻击伤害计算时，御物视为+10%][引锋:战斗中，使用金属法宝进行攻击检定时，命中视为+1]
综合,曦光灵体,阳,灵体,18,17,15,[曦照:日间修炼时，修为+10%][暖脉:战斗中，气血恢复量视为+10%]
综合,灵犀心体,阳,灵体,21,13,16,[灵犀:进行非战斗神识或御物判定时，对应技艺+10%][识战:战斗中，进行神识意图对抗时，神识视为+10%][同调:战斗中，与友方攻击同一目标时，命中视为+1]
综合,玄黄灵体,土,灵体,15,21,14,[玄黄承器:进行炼器或阵法判定时，对应技艺+10%][承压:战斗中，受到近身攻击时，减免视为+10%]
综合,荒古圣体,土,道体,23,27,25,[愈战愈勇:战斗中，气血低于50%时，攻击力视为+20%][古血炼身:修炼时，丹毒排除速度视为+15%]
综合,太阴炼形,阴,道体,27,22,26,[月炼:月夜修炼时，修为+20%][太阴:战斗中，使用阴属性功法时，攻击力视为+15%]
综合,太阳真火体,阳,道体,25,25,25,[日炼:日间修炼时，修为+20%][破邪:战斗中，攻击阴属性目标时，攻击力视为+15%]
综合,九幽玄阴体,阴,道体,28,21,26,[九幽:战斗中，使用阴属性功法时，攻击力视为+20%][玄阴:月夜修炼时，修为+15%]
综合,南明离火体,火,道体,26,24,25,[南明离火:战斗中，使用火属性功法时，攻击力视为+20%][丹器真焰:进行炼丹或炼器判定时，火焰加值+20%]
综合,九天玄女体,阳,仙体,36,28,36,[玄女神识:战斗中，进行神识意图对抗时，神识视为+25%][天工演阵:战斗中，自身参与结成的阵法灵气容量视为+25%][符阵通明:进行制符或阵法判定时，对应技艺+25%]
综合,紫薇圣君体,金,仙体,32,36,32,[帝星:获取修为时，修为+25%][星命:每自然日可重掷一次失败的非战斗判定，且必须接受第二次结果]
综合,龙皇神体,阳,仙体,28,42,30,[龙力:战斗中，使用徒手或近身攻击时，攻击力视为+25%][龙威:战斗中，面对同境及以下敌方灵兽时，敌方灵兽第一轮的命中视为-3][御兽天成:进行驯兽判定时，驯兽技艺+25%]
叙述,百兽同心体,木,灵体,16,18,16,[兽缘:野生兽类与灵兽天然亲近，野生灵兽不会主动发起攻击]
叙述,草木留声体,土,灵体,19,14,17,[草木留声:可模糊地感知周围植物中蕴含的情绪，借此推测周边信息]
叙述,风语灵体,木,灵体,18,14,18,[风语:可从风中听见附近强烈情绪形成的残响，用来模糊判断某处曾有争执、恐惧或欢庆]
叙述,烛影验心体,火,灵体,20,14,16,[烛证:能够模糊的感知他人的灵魂从而察觉他人的谎言；只能察觉谎言，不能得知真相]
叙述,镜月映心体,水,道体,30,20,25,[镜月映心:与他人长期对视时，能模糊地看见对方内心最难割舍的愿望，无读心效果]
叙述,太虚梦蝶体,混沌,仙体,38,28,34,[太虚梦蝶:梦中可能看见过去、他人梦境边缘或未定未来，梦象允许失真]
叙述,照世真瞳体,阳,仙体,38,32,30,[真瞳:能够直接看穿易容、变化之术和作用于视觉的幻象，看到目标当前真实外貌；无法仅凭外貌获知其姓名与经历]
NSFW,暖玉春肌体,火,灵体,17,18,15,"[采阳纳阴双修获取修为+10%][暖玉春肌:情动时会散出体香,使他人能够察觉自身欲望的变化]"
NSFW,阴阳回响体,水,灵体,18,14,18,[阴阳共鸣双修获取修为+10%][回响:双修时对方承受双倍快感]
NSFW,天香蜜髓体,木,道体,27,22,26,[蜜髓灵蕴:失去元阴/元阳时，自身灵蕴+4][天香蜜髓:体液会带有清甜灵香]
NSFW,阴阳交泰体,阴,道体,25,24,26,[阴阳交泰:双修获取修为+20%][灵液:他人吃下自己的任何体液时可增加修为，对自身无效]
NSFW,极乐天魔体,混沌,仙体,36,30,34,[天魔采真:双修获取修为+30%][极乐天魔:双修时可使附近他人的感官共享，同步感受]
NSFW,阴阳无相体,混沌,仙体,38,30,32,[无相合道:双修获取修为+30%][阴阳无相:亲密行为中可随意改变自身性器的形态与性征，使其适配双方选择并保持真实触感]
